ID,agent,choice,outcome,RT,block,group,trialno
102,1,1,1,1155.4,1,1,12
102,1,1,1,980.2,1,1,13
102,1,1,0,718.9,1,1,14
102,1,0,0,565,1,1,15
102,1,1,1,1272.8,1,1,16
102,3,0,0,2304.9,2,1,1
102,3,0,1,1727.5,2,1,2
102,3,0,0,776,2,1,3
102,3,1,1,859.8,2,1,4
102,3,1,1,820.9,2,1,5
102,3,1,0,693.2,2,1,6
102,3,1,1,454.8,2,1,7
102,3,1,1,1529.4,2,1,8
102,3,1,0,1722.5,2,1,9
102,3,1,1,597.8,2,1,10
102,3,1,1,697.9,2,1,11
102,3,1,1,694.7,2,1,12
102,3,1,0,531,2,1,13
102,3,1,1,735.1,2,1,14
102,3,1,1,1304.7,2,1,15
102,3,1,1,693.5,2,1,16
102,1,1,1,796.5,2,1,1
102,1,1,1,724.2,2,1,2
102,1,1,0,720.3,2,1,3
102,1,0,0,615,2,1,4
102,1,0,0,580.9,2,1,5
102,1,1,1,699,2,1,6
102,1,1,0,638.6,2,1,7
102,1,1,1,637.4,2,1,8
102,1,1,1,689.5,2,1,9
102,1,1,0,635,2,1,10
102,1,1,1,588.1,2,1,11
102,1,1,1,859.7,2,1,12
102,1,1,0,605.1,2,1,13
102,1,1,1,1529.7,2,1,14
102,1,1,1,580.9,2,1,15
102,1,1,1,723.2,2,1,16
102,3,0,0,699.5,3,1,1
102,3,0,0,1463.2,3,1,2
102,3,1,1,518,3,1,3
102,3,1,0,1847.8,3,1,4
102,3,1,1,596.1,3,1,5
102,3,1,0,661.9,3,1,6
102,3,0,0,683.6,3,1,7
102,3,1,1,1242.8,3,1,8
102,3,1,0,841.6,3,1,9
102,3,0,0,827.6,3,1,10
102,3,1,1,976.3,3,1,11
102,3,1,1,968.8,3,1,12
102,3,1,1,569.6,3,1,13
102,3,1,0,1451.4,3,1,14
102,3,1,1,1408.1,3,1,15
102,3,1,1,1720.3,3,1,16
102,2,0,0,1822,2,1,1
102,2,1,1,992.7,2,1,2
102,2,1,1,1331.8,2,1,3
102,2,1,0,1170.2,2,1,4
102,2,0,0,671,2,1,5
102,2,1,0,638.3,2,1,6
102,2,1,1,649.5,2,1,7
102,2,1,1,1000.9,2,1,8
102,2,1,0,480.1,2,1,9
102,2,1,1,1100.8,2,1,10
102,2,1,1,1381.9,2,1,11
102,2,1,1,1133.9,2,1,12
102,2,1,1,1099,2,1,13
102,2,1,0,1508.2,2,1,14
102,2,1,1,845.2,2,1,15
102,2,1,1,1357.2,2,1,16
102,1,0,0,2149.7,3,1,1
102,1,1,0,984.4,3,1,2
102,1,0,0,1023,3,1,3
102,1,1,1,1681.2,3,1,4
102,1,1,1,840.1,3,1,5
102,1,1,0,797.9,3,1,6
102,1,1,1,1098.5,3,1,7
102,1,1,1,1043.1,3,1,8
102,1,1,0,1210.6,3,1,9
102,1,0,0,1499.2,3,1,10
102,1,1,1,1493.5,3,1,11
102,1,1,1,462.9,3,1,12
102,1,1,0,553.9,3,1,13
102,1,1,1,812,3,1,14
102,1,1,1,1476.6,3,1,15
102,1,0,0,1437.3,3,1,16
102,2,0,0,1336.8,3,1,1
102,2,0,0,1725.1,3,1,2
102,2,1,0,823.9,3,1,3
102,2,1,1,712,3,1,4
102,2,1,1,719.3,3,1,5
102,2,1,1,720.2,3,1,6
102,2,1,0,753.8,3,1,7
102,2,1,1,676.9,3,1,8
102,2,1,1,791.4,3,1,9
102,2,1,0,725.9,3,1,10
102,2,1,1,1211,3,1,11
102,2,1,1,768.7,3,1,12
102,2,1,0,709.4,3,1,13
102,2,0,0,1268.7,3,1,14
102,2,1,1,1032.9,3,1,15
102,2,1,1,1100.8,3,1,16
103,3,0,0,1195.1,1,1,1
103,3,1,1,1241.4,1,1,2
